"Story","Title","Result","Date","Stability","Duration (s)"
"Page Header's Home Link","header on 'Make' page should have a homepage link","FAILURE","2021-08-10T21:22:56.972+12:00[Pacific/Auckland]","0.0","13.91"
"Page Header's Home Link","header on 'Model' page should have a homepage link","SUCCESS","2021-08-10T21:23:11.196+12:00[Pacific/Auckland]","0.0","11.48"
"Page Header's Home Link","header on 'Overall' page should have a homepage link","SUCCESS","2021-08-10T21:23:22.753+12:00[Pacific/Auckland]","0.0","8.78"
"Pagination in Overall page","Navigate by Input Page Number","FAILURE","2021-08-10T21:23:31.628+12:00[Pacific/Auckland]","0.0","43.32"
"Pagination in Overall page","Navigate by click Next Page Arrow","FAILURE","2021-08-10T21:24:14.967+12:00[Pacific/Auckland]","0.0","29.71"
"Pagination in Overall page","Navigate by click Previous Page Arrow","ERROR","2021-08-10T21:24:44.677+12:00[Pacific/Auckland]","0.0","30.77"
"Pagination in Overall page","Input Page Number is out of range","FAILURE","2021-08-10T21:25:15.466+12:00[Pacific/Auckland]","0.0","10.82"
"Register on Buggy Cars Rating","Register as a valid user with automated Random login","SUCCESS","2021-08-10T21:25:26.292+12:00[Pacific/Auckland]","0.0","8.31"
"Register on Buggy Cars Rating","Register with invalid password or duplicate login","FAILURE","2021-08-10T21:25:34.616+12:00[Pacific/Auckland]","0.0","24.9"
